Product,Quantity Sold,Total Value
Laptop,1,1200.00
Keyboard,5,150.00
Mouse,10,200.00
Monitor,2,600.00
Webcam,3,90.00
Headphones,8,160.00
Microphone,1,75.00
Speakers,2,100.00
Printer,1,300.00
Scanner,1,150.00
External Hard Drive,4,400.00
USB Drive,20,100.00
Router,1,80.00
Modem,1,70.00
Ethernet Cable,15,30.00
Wireless Adapter,3,45.00
Gaming Chair,1,250.00
Desk Lamp,5,75.00
Surge Protector,10,50.00
Battery Backup,1,120.00
Software License,1,99.00
Subscription Service,1,25.00
Cleaning Kit,10,40.00
Cable Ties,20,15.00
Mouse Pad,15,30.00
Laptop Stand,3,60.00
Phone Charger,10,80.00
Tablet,1,300.00
E-reader,1,100.00
Smartwatch,1,150.00
Fitness Tracker,2,100.00
Bluetooth Speaker,3,120.00
Smart Home Hub,1,70.00
Smart Bulb,5,50.00
Security Camera,2,140.00
Video Doorbell,1,100.00
Smart Lock,1,120.00
Thermostat,1,90.00
Robot Vacuum,1,200.00
Air Purifier,1,150.00
Humidifier,1,60.00
Electric Kettle,2,70.00
Coffee Maker,1,80.00
Blender,1,90.00
Toaster,2,60.00
Microwave,1,150.00
Refrigerator,1,800.00
Washing Machine,1,600.00
Dryer,1,550.00
Dishwasher,1,400.00
Oven,1,700.00
Vacuum Cleaner,1,180.00
Iron,3,60.00
Fan,5,100.00
Heater,2,80.00
Sewing Machine,1,250.00
Exercise Bike,1,300.00
Treadmill,1,500.00
Yoga Mat,5,75.00
Dumbbells,10,100.00
Resistance Bands,15,45.00
Water Bottle,20,50.00
Backpack,5,100.00
Lunch Box,10,40.00
Notebook,20,30.00
Pen Set,15,25.00
Markers,10,30.00
Pencils,20,20.00
Erasers,30,15.00
Highlighters,15,25.00
Stapler,5,20.00
Hole Punch,3,15.00
Paper Clips,50,10.00
Sticky Notes,20,20.00
Folders,10,30.00
Binders,5,40.00
Printer Paper,10,50.00
Envelopes,20,15.00
Stamps,30,20.00
Packing Tape,5,25.00
Bubble Wrap,3,30.00
Shipping Box,10,40.00
Picture Frame,5,50.00
Candle,10,30.00
Diffuser,3,60.00
Plant,5,75.00
Vase,2,40.00
Wall Art,1,100.00
Rug,1,150.00
Cushion,5,50.00
Throw Blanket,3,60.00
Curtains,2,80.00
Tablecloth,1,30.00
Napkins,10,20.00
Plates,8,40.00
Bowls,8,32.00
Cups,10,25.00
Cutlery Set,1,50.00
Cooking Pot,1,70.00
Frying Pan,1,60.00
Baking Sheet,2,30.00
Mixing Bowls,1,40.00
Utensil Set,1,30.00
Cutting Board,2,30.00
Knife Set,1,100.00
Wine Glasses,4,40.00
Beer Glasses,4,30.00
Cocktail Shaker,1,25.00
Bar Tools Set,1,40.00
Ice Cube Tray,5,10.00
